CODPAIS,CTRL,PAIS,FALTA,FBAJA
101,2,ALBANIA,19000101,99999999
102,7,AUSTRIA,19000101,99999999
103,3,BÉLGICA,19000101,99999999
104,8,BULGARIA,19000101,99999999
105,1,CHECOSLOVAQUIA,19000101,19940101
106,4,CHIPRE,19000101,99999999
107,0,DINAMARCA,19000101,99999999
108,6,ESPAÑA,19000101,99999999
109,9,FINLANDIA,19000101,99999999
110,3,FRANCIA,19000101,99999999
111,0,GRECIA,19000101,99999999
112,5,HUNGRÍA,19000101,99999999
113,1,IRLANDA,19000101,99999999
114,6,ISLANDIA,19000101,99999999
115,9,ITALIA,19000101,99999999
116,2,LIECHTENSTEIN,19000101,99999999
117,8,LUXEMBURGO,19000101,99999999
118,4,MALTA,19000101,99999999
119,7,MÓNACO,19000101,99999999
120,1,NORUEGA,19000101,99999999
121,8,PAÍSES BAJOS,19000101,99999999
122,3,POLONIA,19000101,99999999
123,9,PORTUGAL,19000101,99999999
124,4,ANDORRA,19000101,99999999
125,7,REINO UNIDO,19000101,99999999
126,0,ALEMANIA,19000101,99999999
127,6,REPÚBLICA DEMOCRÁTICA ALEMANA,19000101,19940101
128,2,RUMANÍA,19000101,99999999
129,5,SAN MARINO,19000101,99999999
130,9,SANTA SEDE,19000101,99999999
131,6,SUECIA,19000101,99999999
132,1,SUIZA,19000101,99999999
133,7,"U.R.S.S., UNIÓN SOVIÉTICA",19000101,19940101
134,2,ANTIGUA YUGOSLAVIA,19000101,19940101
135,5,UCRANIA,19940101,99999999
136,8,LETONIA,19940101,99999999
137,4,MOLDAVA,19940101,20010801
137,4,MOLDAVIA,20010801,99999999
138,0,BIELORRUSIA,19940101,20010801
138,0,BELARÚS,20010801,99999999
139,3,GEORGIA,19940101,99999999
140,7,AZERBAIYÁN,19940101,19950101
141,4,ESTONIA,19940101,99999999
142,9,LITUANIA,19940101,99999999
143,5,REPÚBLICA CHECA,19940101,99999999
144,0,REPÚBLICA ESLOVACA,19940101,99999999
145,3,BOSNIA Y HERZEGOVINA,19940101,99999999
146,6,CROACIA,19940101,99999999
147,2,ESLOVENIA,19940101,99999999
148,8,ARMENIA,19940101,99999999
149,1,KAZAJSTÁN,19940101,19950101
150,4,KIRGUISTÁN,19940101,19950101
151,1,TADYIKISTÁN,19940101,19950101
152,6,TURKMENISTÁN,19940101,19950101
153,2,UZBEKISTÁN,19940101,19950101
154,7,RUSIA,19940101,99999999
155,0,YUGOSLAVIA,19940101,20030801
155,0,SERBIA Y MONTENEGRO,20030801,20060603
156,3,MACEDONIA,19940101,99999999
157,9,SERBIA,20060603,99999999
158,5,MONTENEGRO,20060603,99999999
199,0,OTROS PAÍSES DE EUROPA,19000101,99999999
201,1,BURKINA FASO,19000101,99999999
202,6,ANGOLA,19000101,99999999
203,2,ARGELIA,19000101,99999999
204,7,BENIN,19000101,99999999
205,0,BOTSWANA,19000101,99999999
206,3,BURUNDI,19000101,99999999
207,9,CABO VERDE,19000101,99999999
208,5,CAMERÚN,19000101,99999999
209,8,COMORES,19000101,99999999
210,2,CONGO,19000101,99999999
211,9,COSTA DE MARFIL,19000101,99999999
212,4,DJIBOUTI,19000101,99999999
213,0,EGIPTO,19000101,99999999
214,5,ETIOPÍA,19000101,99999999
215,8,GABÓN,19000101,99999999
216,1,GAMBIA,19000101,99999999
217,7,GHANA,19000101,99999999
218,3,GUINEA,19000101,99999999
219,6,GUINEA,,GUINEA
220,0,GUINEA ECUATORIAL,19000101,99999999
221,7,KENIA,19000101,99999999
222,2,LESOTHO,19000101,99999999
223,8,LIBERIA,19000101,99999999
224,3,LIBIA,19000101,99999999
225,6,MADAGASCAR,19000101,99999999
226,9,MALAWI,19000101,99999999
227,5,MALI,19000101,99999999
228,1,MARRUECOS,19000101,99999999
229,4,MAURICIO,19000101,99999999
230,8,MAURITANIA,19000101,99999999
231,5,MOZAMBIQUE,19000101,99999999
