"CA","CPROV","CCAPP","NOMBREPROV"
"1","11","12","Cádiz"
"1","14","21","Córdoba"
"1","18","87","Granada"
"1","21","41","Huelva"
"1","23","50","Jaén"
"1","29","67","Málaga"
"1","41","91","Sevilla"
"2","22","125","Huesca"
"2","44","216","Teruel"
"2","50","297","Zaragoza"
"3","33","44","Asturias"
"4","7","40","Islas Baleares"
"5","1","59","Álava"
"5","20","69","Guipúzcoa"
"5","48","20","Vizcaya"
"6","38","38","Santa Cruz de Tenerife"
"6","35","16","Las Palmas"
"7","39","75","Cantabria"
"8","2","3","Albacete"
"8","13","34","Ciudad Real"
"8","16","23","Cuenca"
"8","19","130","Guadalajara"
"8","45","12","Toledo"
"9","5","19","Ávila"
"9","9","59","Burgos"
"9","24","89","León"
"9","34","120","Palencia"
"9","37","274","Salamanca"
"9","40","194","Segovia"
"9","42","173","Soria"
"9","47","186","Valladolid"
"9","49","275","Zamora"
"10","8","19","Barcelona"
"10","17","79","Girona"
"10","25","120","Lleida"
"10","43","148","Tarragona"
"11","6","15","Badajoz"
"11","10","37","Cáceres"
"12","15","30","Coruña (A)"
"12","27","28","Lugo"
"12","32","54","Ourense"
"12","36","38","Pontevedra"
"13","28","79","Madrid"
"14","30","30","Murcia"
"15","31","201","Navarra"
"16","26","89","La Rioja"
"17","3","14","Alicante"
"17","12","40","Castellón"
"17","46","250","Valencia"
"A","51","1","Ceuta"
"B","52","1","Melilla"
"C","66","","Extranjeros"
"1","4","13","Almería"
"D","99","","Desconocido"
